id,Gender,Age,Height,Weight
485,Male,21.0,1.8,73.0
486,Male,23.0,1.75,75.0
487,Male,20.0,1.84,104.0
488,Male,21.0,1.88,84.0
489,Female,19.0,1.56,50.0
490,Male,24.0,1.75,84.0
491,Male,25.0,1.66,68.0
492,Male,45.0,1.7,86.0
493,Male,20.0,1.8,65.0
494,Female,18.0,1.67,66.0
495,Male,19.0,1.8,60.0
496,Male,18.0,1.72,53.0
497,Male,20.0,1.56,45.0
498,Female,25.196214,1.686306,104.572712
499,Female,18.503343,1.683124,126.67378000000001
500,Female,26.0,1.6223969999999999,110.79263
501,Female,21.853826,1.755643,137.796884
502,Female,21.90012,1.843419,165.057269
503,Female,18.306615,1.7456,133.03441
504,Female,26.0,1.630927,111.48551599999999
505,Female,26.0,1.629191,104.826776
506,Female,21.849705,1.7706119999999999,133.963349
507,Male,19.799054,1.743702,54.92752900000001
508,Male,17.188754,1.7719150000000001,55.695036
509,Male,22.285024,1.7537599999999998,55.879263
510,Female,22.0,1.675446,51.154201
511,Female,21.02497,1.6662029999999999,49.869791
512,Female,22.038327,1.7114669999999998,51.965521
513,Female,21.243142000000002,1.598019,44.845655
514,Female,22.142432,1.5961100000000001,42.848033
515,Female,21.962426,1.57206,43.919835
516,Female,21.491055,1.5869520000000001,43.087508
517,Female,22.717942999999998,1.59559,44.581159
518,Female,23.501248999999998,1.6,45.0
519,Female,18.535075,1.688025,45.0
520,Female,19.0,1.556211,42.339766999999995
521,Female,19.0,1.564199,42.096061999999996
522,Female,20.254534,1.56948,41.324558
523,Female,21.0,1.52,42.0
524,Female,20.225396,1.550648,44.641796
525,Female,19.869970000000002,1.520997,42.0
526,Female,20.147114000000002,1.528011,42.0
527,Female,21.0,1.52,42.0
528,Female,21.996523,1.733263,50.890363
529,Female,21.376426000000002,1.7225270000000001,50.833028999999996
530,Female,19.724106,1.734832,50.0
531,Male,23.0,1.882779,64.10610799999999
532,Male,22.851834,1.8545919999999998,63.611109
533,Male,23.0,1.8356430000000001,58.854416
534,Male,18.216032000000002,1.755507,52.0
535,Male,21.81119,1.7126599999999998,51.598593
536,Male,18.164768,1.6942650000000001,52.0
537,Female,18.871794,1.5868950000000002,41.452385
538,Female,18.766033,1.579561,41.890204
539,Female,18.540535000000002,1.564568,41.397378
540,Female,19.88036,1.6706349999999999,49.742931
541,Female,19.717249,1.6884259999999998,49.660995
542,Female,19.633898000000002,1.66084,49.039794
543,Female,23.0,1.7101819999999999,50.287967
544,Female,20.406871,1.7559779999999998,53.699560999999996
545,Female,23.0,1.728834,51.442293
546,Female,19.058511,1.6620169999999999,49.838965
547,Female,18.827008,1.7,50.0
548,Female,19.314964,1.661403,49.932199
549,Female,29.970445,1.610863,49.516027
550,Female,32.383858000000004,1.6406880000000001,46.655621999999994
551,Female,24.163526,1.6460299999999999,49.839684999999996
552,Male,17.038222,1.710564,51.588874
553,Male,16.30687,1.7527549999999998,50.0
554,Male,16.198153,1.691007,52.629374
555,Male,18.0,1.7533490000000003,51.457226
556,Male,18.0,1.781543,50.869704
557,Male,18.0,1.755823,52.331171999999995
558,Male,17.486869,1.8366689999999999,58.943346999999996
559,Male,19.920629,1.768493,57.790381000000004
560,Male,18.426619,1.7771080000000001,57.145917000000004
561,Female,17.082867,1.640824,43.365005
562,Female,17.000432999999997,1.584951,44.411801000000004
563,Female,16.270433999999998,1.818268,47.124717
564,Male,17.908114,1.793926,59.682591
565,Male,17.120699,1.809251,58.968993999999995
566,Male,19.329542,1.7673349999999999,55.700497
567,Female,22.377998,1.699568,54.98774
568,Female,20.954954999999998,1.7593580000000002,55.01045
569,Female,22.991668,1.7402950000000001,54.166453000000004
570,Female,19.300435,1.739354,49.649613
571,Female,17.065445,1.6478110000000001,49.603807
572,Female,19.084967000000002,1.7684349999999998,49.597765
573,Female,18.024853,1.7,50.0
574,Female,19.833682,1.6994639999999999,49.676046
575,Female,17.767432,1.7437900000000002,50.0
576,Female,19.504696,1.590317,42.367615
577,Female,19.950605,1.527133,42.0
578,Female,19.0,1.530875,42.0
579,Male,17.0,1.8482939999999999,59.409018
580,Male,17.0,1.824414,59.295171999999994
581,Male,18.525525,1.8566330000000002,59.258371999999994
582,Female,22.926351999999998,1.715597,50.0
583,Female,21.785351000000002,1.675054,49.945233
584,Female,23.0,1.717601,51.073918
585,Female,17.402028,1.7107560000000002,50.0
586,Female,18.0,1.7,50.0
587,Female,18.48207,1.7,50.0
588,Female,18.530839999999998,1.5738159999999999,39.850137
589,Female,19.94814,1.530884,39.371522999999996
590,Female,20.400053,1.529724,40.343463
591,Male,19.556729,1.767563,56.307019
592,Male,17.70368,1.883364,60.0
593,Male,18.274358,1.824655,58.621349
594,Male,18.0,1.840138,60.0
595,Male,17.210932999999997,1.8195569999999999,58.325122
596,Male,17.469417,1.798645,59.612717
597,Male,18.0,1.7108,50.92538
598,Male,18.0,1.7065299999999999,51.121749
599,Male,18.0,1.716691,51.149283000000004
600,Female,19.010210999999998,1.555431,44.188767
601,Female,19.091345999999998,1.603923,45.0
602,Female,19.773303,1.602082,45.0
603,Female,19.483036,1.53777,42.0
604,Female,19.0,1.538398,42.0
605,Female,19.407204,1.5208620000000002,42.0
606,Male,18.0,1.7178259999999999,51.7325
607,Male,18.424941,1.7533889999999999,54.121925
608,Male,18.0,1.70165,50.157707
609,Male,19.97981,1.7533599999999998,54.997374
610,Female,21.798856,1.672007,49.980968
611,Female,22.209706,1.593847,44.050251
612,Female,23.018442999999998,1.584785,44.376637
613,Female,19.376997,1.600264,45.0
614,Female,20.971429,1.549311,41.557468
615,Female,20.345160999999997,1.534385,41.96525
616,Female,20.519916000000002,1.7255479999999999,49.815599
617,Male,20.406066,1.8689310000000001,63.199726
618,Female,21.478496,1.686936,51.256059
619,Female,18.372563,1.5898290000000002,40.202773
620,Female,19.931667,1.653209,49.026214
621,Female,22.998708999999998,1.7401080000000002,53.65727
622,Female,18.006742000000003,1.7,50.0
623,Female,34.799519000000004,1.689141,50.0
624,Male,16.496978,1.6912060000000002,50.0
625,Male,18.0,1.788459,51.552595000000004
626,Male,17.377131,1.8112380000000001,58.830709999999996
627,Female,16.611837,1.830068,43.534531
628,Male,17.080493,1.7827560000000002,56.02941800000001
629,Female,22.970654999999997,1.7516909999999999,55.96765500000001
630,Female,17.764764000000003,1.78656,50.0
631,Female,19.272573,1.71367,50.0
632,Female,19.0,1.540375,42.006282
633,Male,17.06713,1.896734,59.895052
634,Female,23.0,1.710129,50.079991
635,Female,18.0,1.704193,50.631889
636,Female,19.054008,1.556611,39.695295
637,Male,18.0,1.8453990000000002,60.0
638,Male,17.491272,1.8346369999999999,59.990860999999995
639,Male,18.0,1.721854,52.514302
640,Female,20.172660999999998,1.605521,44.661460999999996
641,Female,19.220108,1.530266,42.0
642,Male,18.0,1.7188900000000003,52.058335
643,Male,19.96247,1.7563380000000002,54.98234
644,Male,17.580627,1.7703240000000002,55.695253
645,Female,21.125098,1.767479,56.265958999999995
646,Female,22.033129000000002,1.704223,51.437985
647,Female,20.744839000000002,1.6678520000000001,49.803921
648,Female,22.547298,1.722461,51.881263
649,Female,21.837996,1.5880459999999998,44.236067
650,Female,23.035829,1.5986120000000001,42.993937
651,Female,21.529439,1.592379,44.00945
652,Female,21.287999,1.555778,42.3601
653,Female,23.444285999999998,1.596466,44.594588
654,Female,22.329041,1.598393,44.918255
655,Female,18.91505,1.633316,45.0
656,Female,19.0,1.559567,42.12617
657,Female,19.052833,1.546551,42.069992
658,Female,19.59904,1.566501,41.706283
659,Female,21.0,1.52,42.0
660,Female,19.673262,1.599486,44.810751
661,Female,20.244359,1.559186,41.952805
662,Female,20.552695,1.523426,42.0
663,Female,21.0,1.52,42.0
664,Female,21.997683,1.689441,51.107925
665,Female,21.274628,1.737453,50.479039
666,Female,18.909439000000003,1.7320959999999999,50.0
667,Male,22.396504,1.869098,61.411141
668,Male,19.084317000000002,1.8511229999999999,61.264784999999996
669,Male,21.084625,1.787264,58.585145999999995
670,Male,18.068767,1.7877869999999998,52.0
671,Female,21.813083,1.7125150000000002,51.710723
672,Male,18.038422,1.698914,51.692271999999996
673,Female,18.874591,1.533609,41.669346000000004
674,Female,19.21164,1.5679809999999998,41.934368
675,Female,18.988581,1.544263,41.535047
676,Female,19.408998999999998,1.670552,49.804245
677,Female,19.665881,1.676346,49.105025
678,Female,19.758286,1.667404,49.125955
679,Female,22.422674,1.7001099999999998,50.173425
680,Male,20.242237,1.75633,54.56734300000001
681,Female,22.637017999999998,1.703584,51.607091
682,Female,19.007177,1.690727,49.895716
683,Female,18.288204999999998,1.7135639999999999,50.0
684,Female,19.314429,1.67231,49.713944
685,Female,27.148229999999998,1.6604459999999999,49.558304
686,Female,25.380557,1.630379,46.062954
687,Female,22.867719,1.655413,50.424661
688,Male,17.729923,1.732862,51.216463
689,Female,16.834813,1.7440200000000001,50.0
690,Male,17.521754,1.7579580000000001,52.09432
691,Male,18.0,1.786758,51.524444
692,Male,18.0,1.7670580000000002,51.132809
693,Male,18.128249,1.6994369999999999,52.08657
694,Male,17.405104,1.82525,58.913579000000006
695,Male,19.72925,1.7933150000000002,58.19515
696,Male,18.525834,1.776989,57.275946
697,Female,18.595614,1.6094950000000001,42.656563
698,Female,16.613108,1.777929,44.762023
699,Female,16.928791,1.710948,45.248627
700,Male,17.758315,1.8541619999999999,59.881316000000005
701,Male,17.282945,1.8215139999999999,59.605028000000004
702,Male,19.993154,1.762073,55.511075
703,Female,22.935612,1.732307,54.835576
704,Male,20.738469,1.7599330000000002,55.003417000000006
705,Female,22.993679999999998,1.741377,54.877111
706,Female,19.317148,1.731195,49.650897
707,Female,16.910997000000002,1.74823,49.928447
708,Female,19.071026999999997,1.7568650000000001,49.699672
709,Female,18.019572,1.7013779999999998,50.088468
710,Female,19.735968,1.699956,49.98297
711,Female,18.094079,1.723328,50.0
712,Female,19.054938,1.5858860000000001,42.541794
713,Female,20.850119,1.524926,42.0
714,Female,19.349258,1.5233700000000001,42.0
715,Male,17.0,1.8447490000000002,59.313525
716,Male,17.203917,1.853325,59.619485
717,Male,17.671064,1.8547060000000002,59.20945
718,Female,21.310907,1.7206400000000002,50.0
719,Female,21.708354,1.7041669999999998,50.165754
720,Female,22.176922,1.7174599999999998,51.491957
721,Female,17.823438,1.708406,50.0
722,Female,18.0,1.763465,50.279053000000005
723,Female,18.281092,1.7,50.0
724,Female,18.656912,1.574017,41.220175
725,Female,19.994543,1.537739,39.101805
726,Female,20.255616,1.534223,41.268597
727,Male,19.865895000000002,1.76033,55.3707
728,Male,17.888073000000002,1.841879,60.0
729,Male,18.470562,1.8564060000000002,58.673963
730,Male,17.925497,1.8291419999999998,59.933015000000005
731,Male,17.000752,1.822084,58.443049
732,Male,17.362129,1.8067099999999998,59.243506000000004
733,Male,18.0,1.707259,50.664459
734,Male,18.0,1.708107,51.314659000000006
735,Male,18.0,1.7393439999999998,50.951444
736,Female,19.029494,1.573987,44.316254
737,Female,19.269079,1.58092,44.753943
738,Female,19.946244,1.603435,45.0
739,Female,19.639431,1.53535,42.0
740,Female,19.0,1.5316100000000001,42.0
741,Female,19.434708999999998,1.525691,42.0
742,Male,18.0,1.719827,52.289828
743,Male,18.381382000000002,1.722547,53.783977
744,Male,18.0,1.738702,50.248677
745,Male,26.69858,1.816298,86.96376500000001
746,Male,21.125836,1.638085,70.0
